"country","MostMcDonaldsNumberOfLocations","MostMcDonaldsPercentOfWorldsLocations"
"India",300,0.78
"China",2700,7.05
"United States of America",14146,36.92
"Indonesia",224,0.58
"Pakistan",72,0.19
"Brazil",1023,2.67
"Russia",755,1.97
"Mexico",402,1.05
"Japan",2975,7.76
"Egypt",114,0.3
"Philippines",655,1.71
"Vietnam",22,0.06
"Turkey",253,0.66
"Germany",1472,3.84
"Thailand",240,0.63
"United Kingdom",1274,3.32
"France",1485,3.88
"South Africa",275,0.72
"Italy",600,1.57
"Colombia",81,0.21
"South Korea",447,1.17
"Spain",520,1.36
"Iraq",1,
"Argentina",222,0.58
"Canada",1450,3.78
"Poland",470,1.23
"Morocco",53,0.14
"Ukraine",93,0.24
"Malaysia",282,0.74
"Peru",40,0.1
"Saudi Arabia",304,0.79
"Venezuela",133,0.35
"Australia",981,2.56
"Taiwan",413,1.08
"Sri Lanka",7,0.02
"Kazakhstan",20,0.05
"Chile",77,0.2
"Romania",84,0.22
"Guatemala",95,0.25
"Netherlands",254,0.66
"Ecuador",30,0.08
"Belgium",85,0.22
"Jordan",31,0.08
"Dominican Republic",31,0.08
"United Arab Emirates",175,0.45
"Cuba",1,
"Honduras",10,0.03
"Czech Republic",102,0.27
"Sweden",191,0.5
"Portugal",175,0.46
"Azerbaijan",19,0.05
"Greece",25,0.07
"Hungary",92,0.24
"Israel",185,0.48
"Austria",195,0.51
"Belarus",21,0.05
"Switzerland",167,0.44
"Hong Kong",237,0.62
"Paraguay",19,0.05
"Nicaragua",6,0.02
"Bulgaria",35,0.09
"Serbia",30,0.08
"El Salvador",19,0.05
"Denmark",89,0.23
"Singapore",136,0.35
"Lebanon",23,0.06
"Finland",66,0.17
"Norway",71,0.19
"Slovakia",35,0.09
"Oman",24,0.06
"Ireland",89,0.23
"New Zealand",166,0.43
"Costa Rica",54,0.14
"Kuwait",77,0.2
"Panama",57,0.15
"Croatia",37,0.1
"Georgia",18,0.05
"Uruguay",25,0.07
"Puerto Rico",108,0.28
"Bosnia and Herzegovina",5,0.01
"Qatar",46,0.12
"Moldova",5,0.01
"Lithuania",17,0.04
"Slovenia",23,0.06
"Bahrain",23,0.06
"Trinidad and Tobago",6,0.02
"Estonia",10,0.03
"Cyprus",18,0.05
"Fiji",4,0.01
"Reunion",4,0.01
"Macau",27,0.07
"Luxembourg",10,0.03
"Suriname",3,0.01
"Malta",9,0.02
"Bahamas",3,0.01
"Guadeloupe",8,0.02
"Martinique",9,0.02
"French Guiana",2,0.01
"New Caledonia",2,0.01
"Gabon"
"French Polynesia",6,0.02
"Samoa",1,
"Guam",6,0.02
"Aruba",4,0.01
"Isle of Man",1,
"Andorra",5,0.01
"Guernsey",1,
"American Samoa",2,0.01
"Liechtenstein",1,
"Gibraltar",1,
"Monaco",2,0.01